NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	LGALS7	galectin 7 [Source:HGNC Symbol;Acc:HGNC:6568]	15	2.6313259601593018	0.04467922	Yes	
row_1	IL2RB	interleukin 2 receptor subunit beta [Source:HGNC Symbol;Acc:HGNC:6009]	35	2.135493755340576	0.078191146	Yes	
row_2	ATP2B4	ATPase plasma membrane Ca2+ transporting 4 [Source:HGNC Symbol;Acc:HGNC:817]	45	2.0609798431396484	0.11429261	Yes	
row_3	SRGN	serglycin [Source:HGNC Symbol;Acc:HGNC:9361]	49	1.9385677576065063	0.15045007	Yes	
row_4	HIF1A	hypoxia inducible factor 1 subunit alpha [Source:HGNC Symbol;Acc:HGNC:4910]	62	1.8010660409927368	0.18033406	Yes	
row_5	DGAT1	diacylglycerol O-acyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:2843]	68	1.7520850896835327	0.212092	Yes	
row_6	NIBAN1	niban apoptosis regulator 1 [Source:HGNC Symbol;Acc:HGNC:16784]	94	1.5188220739364624	0.23130234	Yes	
row_7	SLC35D1	solute carrier family 35 member D1 [Source:HGNC Symbol;Acc:HGNC:20800]	126	1.3317219018936157	0.24449092	Yes	
row_8	AOPEP	aminopeptidase O (putative) [Source:HGNC Symbol;Acc:HGNC:1361]	128	1.3233096599578857	0.26959467	Yes	
row_9	REEP5	receptor accessory protein 5 [Source:HGNC Symbol;Acc:HGNC:30077]	143	1.2593730688095093	0.28823256	Yes	
row_10	DUSP4	dual specificity phosphatase 4 [Source:HGNC Symbol;Acc:HGNC:3070]	150	1.2403485774993896	0.3097244	Yes	
row_11	CRIP1	cysteine rich protein 1 [Source:HGNC Symbol;Acc:HGNC:2360]	190	1.098589539527893	0.3151988	Yes	
row_12	H2AZ1	H2A.Z variant histone 1 [Source:HGNC Symbol;Acc:HGNC:4741]	235	0.9841740727424622	0.31645507	Yes	
row_13	S100A6	S100 calcium binding protein A6 [Source:HGNC Symbol;Acc:HGNC:10496]	243	0.9713233709335327	0.33235893	Yes	
row_14	SOCS2	suppressor of cytokine signaling 2 [Source:HGNC Symbol;Acc:HGNC:19382]	260	0.9250373244285583	0.34374747	Yes	
row_15	NDRG1	N-myc downstream regulated 1 [Source:HGNC Symbol;Acc:HGNC:7679]	271	0.8970290422439575	0.35701162	Yes	
row_16	MYB	MYB proto-oncogene, transcription factor [Source:HGNC Symbol;Acc:HGNC:7545]	291	0.8536881804466248	0.3658172	Yes	
row_17	NABP1	nucleic acid binding protein 1 [Source:HGNC Symbol;Acc:HGNC:26232]	362	0.7396987676620483	0.35189426	No	
row_18	TEC	tec protein tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:11719]	373	0.7293159365653992	0.3619258	No	
row_19	PHLPP1	PH domain and leucine rich repeat protein phosphatase 1 [Source:HGNC Symbol;Acc:HGNC:20610]	534	0.5845416188240051	0.3087804	No	
row_20	TNFRSF9	TNF receptor superfamily member 9 [Source:HGNC Symbol;Acc:HGNC:11924]	548	0.5782887935638428	0.3146932	No	
row_21	LCLAT1	lysocardiolipin acyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:26756]	574	0.5606986880302429	0.31543607	No	
